,state,air_pollution_ranking,id,abbr,poverty,povertyMoe,age,ageMoe,income,incomeMoe,healthcare,healthcareLow,healthcareHigh,obesity,obesityLow,obesityHigh,smokes,smokesLow,smokesHigh,state_gdp
22,Minnesota,14,27,MN,11.5,0.4,37.8,0.1,61481,471,7.3,6.7,7.9,27.6,26.8,28.5,16.3,15.6,17,341041.4
23,Missouri,30,29,MO,15.5,0.4,38.5,0.1,48363,567,12.9,11.6,14.3,30.2,28.6,31.9,20.6,19.2,22.1,287659.3
24,Mississippi,31,28,MS,21.5,0.6,36.7,0.2,39680,773,18.8,17,20.7,35.5,33.4,37.6,23,21,24.9,102656.4
25,Montana,9,30,MT,15.4,0.8,39.6,0.3,46328,1217,12.9,11.6,14.1,26.4,24.9,27.9,19.9,18.5,21.4,47916.3
26,North Carolina,17,37,NC,17.2,0.3,38.3,0.1,46556,381,16.1,15.1,17.2,29.7,28.4,31,19.1,17.9,20.3,511539.9
27,North Dakota,5,38,ND,11.5,0.9,35.1,0.2,59029,1681,8.8,7.6,10,32.2,30.5,33.9,19.9,18.4,21.5,53930.2
28,Nebraska,17,31,NE,12.4,0.5,36.2,0.2,52686,688,12.4,11.5,13.2,30.2,29.2,31.2,17.3,16.5,18.2,117395.2
29,New Hampshire,1,33,NH,9.2,0.6,42.5,0.3,66532,1297,11.4,10.1,12.7,27.4,25.8,29.1,17.5,16,19,77240.3
30,New Jersey,35,34,NJ,11.1,0.3,39.4,0.2,71919,438,12.5,11.5,13.4,26.9,25.7,28.1,15.1,14.1,16.1,556731
31,New Mexico,8,35,NM,21.3,0.9,37.2,0.2,44803,849,15.4,14.1,16.8,28.4,26.9,30,19.2,17.7,20.6,98765.7
32,Nevada,39,32,NV,15.2,0.7,37.4,0.2,51450,683,17.1,15,19.3,27.7,25.3,30.1,17,15,19,153728.6
33,New York,10,36,NY,15.9,0.3,38.2,0.1,58878,393,12.3,11.1,13.4,27,25.6,28.4,14.4,13.3,15.5,1490678.5
34,Ohio,46,39,OH,15.8,0.3,39.4,0.1,49308,363,10.2,9.2,11.3,32.6,31.2,34.1,21,19.7,22.3,615474.4
35,Oklahoma,43,40,OK,16.6,0.4,36.2,0.2,47529,454,13.9,12.9,15,33,31.6,34.3,21.1,19.9,22.3,197900.4
36,Oregon,39,41,OR,16.6,0.5,39.3,0.2,51075,490,11,9.7,12.4,27.9,26.2,29.6,17,15.5,18.4,225336.8
37,Pennsylvania,48,42,PA,13.6,0.3,40.7,0.1,53234,420,10.1,9.2,11.1,30.2,28.9,31.4,19.9,18.8,21.1,726165.9
38,Rhode Island,17,44,RI,14.3,0.9,39.8,0.3,54891,1488,8,6.8,9.2,27,25.4,28.6,16.3,14.8,17.7,53668
39,South Carolina,22,45,SC,18,0.5,38.8,0.1,45238,507,17.1,16,18.2,32.1,30.9,33.3,21.5,20.4,22.7,214933.7
40,South Dakota,6,46,SD,14.2,0.7,36.6,0.3,50979,1027,9.9,8.4,11.4,29.8,27.9,31.8,18.6,16.9,20.2,47559.7
41,Tennessee,22,47,TN,18.3,0.4,38.6,0.1,44361,561,14.2,12.6,15.9,31.2,29.3,33.1,24.2,22.3,26.1,328406.3
42,Texas,43,48,TX,17.2,0.2,34.3,0.1,53035,377,24.9,23.7,26.1,31.9,30.6,33.3,14.5,13.6,15.5,1764357.2
43,Utah,31,49,UT,11.7,0.6,30.5,0.1,60922,658,13.9,13.2,14.6,25.7,24.9,26.6,9.7,9,10.3,168792.7
44,Virginia,15,51,VA,11.8,0.3,37.7,0.1,64902,624,13.1,12,14.1,28.5,27.2,29.7,19.5,18.4,20.7,489168.4
45,Vermont,3,50,VT,12.2,0.8,42.8,0.3,54166,1724,6.7,5.9,7.5,24.8,23.5,26.1,16.4,15.2,17.6,29806.2
46,Washington,39,53,WA,13.2,0.4,37.5,0.1,61366,485,10.7,9.7,11.8,27.3,26,28.5,15.3,14.3,16.4,548686.7
47,Wisconsin,17,55,WI,13.2,0.4,39.2,0.2,52622,433,8.5,7.4,9.7,31.2,29.6,32.8,17.4,16,18.7,308044.7
48,West Virginia,28,54,WV,18.3,0.7,41.9,0.2,41059,651,10.1,9.1,11.2,35.7,34.2,37.2,26.7,25.2,28.1,72340.4
49,Wyoming,2,56,WY,11.2,0.9,36.6,0.4,57055,1983,15.1,13.3,16.9,29.5,27.4,31.5,19.5,17.6,21.4,39214
